kode,provinsi,kantor_perwakilan_LPS,zona,zona_inti,bendera_Lapis2,RETT_2025Q2,RETT_2021Q1,RETT_rata2,TWP90_2025Q2,TWP90_rata2,kegagalan_BPR_per100kantor,rekening_peminjam_aktif,rekening_per_1000_dewasa,outstanding_LPBBTI_Rpmiliar,outstanding_lewat90hari_Rpmiliar,Lapis1_RpT,Lapis2_RpT,Lapis3_RpT,LISA_2025Q2
11,Aceh,KP LPS I,Zona IV,False,True,12.2325,8.9164,10.1112,0.824,1.3383,18.18,102897,25.0,196.9,1.6,44.771,0.029,6.244,Tidak nyata
12,Sumatera Utara,KP LPS I,Zona III,False,True,7.349,5.5726,6.5396,1.546,1.7911,1.39,1036941,89.7,3078.8,47.6,329.421,2.056,26.292,Tidak nyata
13,Sumatera Barat,KP LPS I,Zona III,True,False,11.0622,9.0118,9.8293,2.404,1.8046,1.1,400529,90.0,1398.9,33.6,55.934,1.547,7.149,Tidak nyata
14,Riau,KP LPS I,Zona II,True,False,15.4841,11.6311,14.0564,1.661,1.5675,0.0,542854,108.9,1565.8,26.0,129.668,1.503,24.032,Tidak nyata
15,Jambi,KP LPS I,Zona II,False,False,16.326,12.4579,15.6242,2.16,1.6365,0.0,273264,97.3,864.3,18.7,48.71,1.049,9.709,Tidak nyata
16,Sumatera Selatan,KP LPS I,Zona I,True,False,14.4979,11.5117,13.6658,2.655,2.3861,0.0,577990,87.2,1728.2,45.9,113.679,1.525,19.534,Tidak nyata
17,Bengkulu,KP LPS I,Zona I,False,True,14.9697,11.8853,13.7862,1.748,1.8407,7.69,138784,86.9,478.3,8.4,19.132,0.126,3.39,Tidak nyata
18,Lampung,KP LPS I,Zona I,True,False,13.7532,13.239,13.9294,2.811,2.5779,0.0,530899,74.3,1455.8,40.9,62.509,7.73,11.201,Tidak nyata
19,Kepulauan Bangka Belitung,KP LPS I,Zona IV,False,False,8.6179,7.6176,8.8233,1.598,1.5649,0.0,103253,87.8,337.8,5.4,27.156,0.154,2.575,Tidak nyata
21,Kepulauan Riau,KP LPS I,Zona III,False,False,5.8415,4.7751,5.4386,1.797,1.8953,0.0,309076,189.2,993.0,17.8,98.462,10.005,6.729,Tidak nyata
31,DKI Jakarta,kantor pusat,Zona III,True,False,2.1866,2.5086,2.3653,3.564,2.6541,0.0,2708907,323.5,12838.9,457.5,5040.155,4.625,112.773,Tidak nyata
32,Jawa Barat,kantor pusat,Zona I,True,True,12.6054,11.1207,11.8104,3.415,3.0602,1.26,6818787,175.3,20751.9,708.6,693.013,16.825,102.384,Tinggi–Rendah
33,Jawa Tengah,kantor pusat,Zona III,True,False,8.1677,9.7964,8.2598,2.766,2.5857,0.12,2637739,88.2,6962.1,192.6,428.915,37.041,41.443,Rendah–Rendah
34,DI Yogyakarta,kantor pusat,Zona III,True,False,5.8497,4.7404,5.1214,3.308,2.5146,0.0,394247,129.8,1207.3,39.9,86.275,6.933,5.791,Rendah–Rendah
35,Jawa Timur,KP LPS II,Zona III,True,False,6.6865,6.0366,6.3415,3.288,2.7356,0.52,3048079,91.4,10417.7,342.6,792.842,16.575,57.999,Tidak nyata
36,Banten,kantor pusat,Zona I,True,False,12.3135,10.7245,11.498,2.728,2.3961,0.53,1742274,184.5,6226.2,169.9,293.569,4.984,41.925,Tidak nyata
51,Bali,KP LPS II,Zona IV,True,True,6.3751,6.3398,6.1521,1.131,1.5544,1.39,427124,120.8,1781.6,20.2,182.879,17.444,13.64,Rendah–Rendah
52,Nusa Tenggara Barat,KP LPS II,Zona III,False,False,11.0971,8.9709,10.3483,4.362,4.0149,0.0,237629,57.0,827.1,36.1,48.327,1.575,6.229,Tidak nyata
53,Nusa Tenggara Timur,KP LPS II,Zona IV,True,False,7.1903,4.8726,5.4427,1.409,1.3562,0.0,226040,55.7,753.1,10.6,36.883,0.646,2.908,Tidak nyata
61,Kalimantan Barat,KP LPS II,Zona III,False,True,12.2811,8.4824,10.3061,1.543,1.9597,9.09,277057,64.3,855.6,13.2,84.796,1.458,12.076,Tidak nyata
62,Kalimantan Tengah,KP LPS II,Zona I,False,False,15.286,12.5337,15.0921,1.491,1.905,0.0,162309,75.7,488.6,7.3,49.977,0.777,9.158,Tidak nyata
63,Kalimantan Selatan,KP LPS II,Zona I,True,False,11.8352,12.3408,12.2714,2.002,2.1784,0.0,336953,105.8,958.8,19.2,94.483,1.191,12.843,Tidak nyata
64,Kalimantan Timur (inkl. Kalimantan Utara),KP LPS II,Zona I,False,False,15.5494,10.081,12.8666,2.045,1.9204,0.0,492564,130.9,1443.5,29.5,177.13,0.505,32.707,Tidak nyata
71,Sulawesi Utara,KP LPS III,Zona II,True,False,20.8052,15.9254,19.193,1.354,1.5924,0.0,269034,127.5,976.3,13.2,32.554,1.747,9.011,Tinggi–Tinggi
72,Sulawesi Tengah,KP LPS III,Zona II,True,False,17.8319,12.5931,15.0952,1.538,1.4945,0.0,177868,76.2,598.9,9.2,36.217,1.02,8.081,Tinggi–Tinggi
73,Sulawesi Selatan,KP LPS III,Zona I,False,True,13.0119,10.6724,12.4004,1.669,1.7863,2.38,609232,83.5,2038.0,34.0,139.136,2.471,21.182,Tinggi–Tinggi
74,Sulawesi Tenggara,KP LPS III,Zona II,True,False,19.1025,12.3657,15.7842,1.445,1.1652,0.0,140184,68.4,701.3,10.1,31.165,0.228,7.413,Tinggi–Tinggi
75,Gorontalo,KP LPS III,Zona II,True,False,31.8672,23.8698,27.2194,1.404,1.1963,0.0,114275,121.5,457.1,6.4,6.755,0.035,3.176,Tinggi–Tinggi
76,Sulawesi Barat,KP LPS III,Zona II,True,False,20.7774,13.3438,18.4265,1.188,1.1083,0.0,57874,52.6,230.5,2.7,6.539,0.121,1.747,Tinggi–Tinggi
81,Maluku,KP LPS III,Zona IV,False,False,8.6118,5.0854,7.2173,0.836,1.767,0.0,64468,44.0,231.4,1.9,15.143,1.888,1.605,Tidak nyata
82,Maluku Utara,KP LPS III,Zona II,True,False,16.0,10.5495,13.9157,0.621,1.1815,0.0,54436,54.2,242.7,1.5,15.091,0.127,2.899,Tinggi–Tinggi
91,Papua Barat,KP LPS III,Zona IV,True,True,7.3748,4.7081,6.2497,,1.3142,9.3,39771,44.2,93.0,,16.061,0.438,1.314,Tidak nyata
94,Papua,KP LPS III,Zona IV,True,True,4.3703,2.8644,3.6249,,1.3642,3.43,79745,24.0,197.4,,53.208,0.868,2.471,Tidak nyata
