periode,RETT_rata2_provinsi,simpangan_baku,koefisien_variasi,Moran_I_kNN5,p_permutasi
2021Q1,9.6104,4.2787,0.4452,0.2297,0.004
2021Q2,9.4243,4.2316,0.449,0.2399,0.004
2021Q3,9.5269,4.3018,0.4515,0.2567,0.004
2021Q4,9.5487,4.5513,0.4766,0.2766,0.003
2022Q1,10.0494,4.6384,0.4616,0.3009,0.003
2022Q2,10.1717,4.7209,0.4641,0.3213,0.003
2022Q3,10.5788,4.939,0.4669,0.3267,0.003
2022Q4,10.925,5.1753,0.4737,0.318,0.003
2023Q1,11.6121,5.464,0.4705,0.3284,0.003
2023Q2,11.6757,5.4002,0.4625,0.3197,0.003
2023Q3,11.8084,5.5499,0.47,0.3326,0.003
2023Q4,12.0264,5.706,0.4745,0.3489,0.003
2024Q1,12.2882,5.7059,0.4643,0.3502,0.003
2024Q2,12.0968,5.5623,0.4598,0.3411,0.003
2024Q3,12.2994,5.7027,0.4637,0.3548,0.003
2024Q4,12.5545,5.9859,0.4768,0.3615,0.003
2025Q1,12.6274,5.9144,0.4684,0.3669,0.003
2025Q2,12.3427,5.9042,0.4784,0.3745,0.003
