kode,provinsi,periode,RETT_persen
11,Aceh,2021Q1,8.9164
11,Aceh,2021Q2,8.9347
11,Aceh,2021Q3,9.273
11,Aceh,2021Q4,8.8045
11,Aceh,2022Q1,9.1553
11,Aceh,2022Q2,8.7636
11,Aceh,2022Q3,9.2491
11,Aceh,2022Q4,9.159
11,Aceh,2023Q1,9.5984
11,Aceh,2023Q2,10.1479
11,Aceh,2023Q3,10.2716
11,Aceh,2023Q4,10.5207
11,Aceh,2024Q1,11.2782
11,Aceh,2024Q2,11.2385
11,Aceh,2024Q3,11.3134
11,Aceh,2024Q4,10.8937
11,Aceh,2025Q1,12.2502
11,Aceh,2025Q2,12.2325
12,Sumatera Utara,2021Q1,5.5726
12,Sumatera Utara,2021Q2,5.475
12,Sumatera Utara,2021Q3,5.3934
12,Sumatera Utara,2021Q4,5.4077
12,Sumatera Utara,2022Q1,5.4562
12,Sumatera Utara,2022Q2,5.7604
12,Sumatera Utara,2022Q3,5.9149
12,Sumatera Utara,2022Q4,6.3361
12,Sumatera Utara,2023Q1,6.7374
12,Sumatera Utara,2023Q2,6.9685
12,Sumatera Utara,2023Q3,7.0903
12,Sumatera Utara,2023Q4,7.0814
12,Sumatera Utara,2024Q1,7.2939
12,Sumatera Utara,2024Q2,7.3613
12,Sumatera Utara,2024Q3,7.4359
12,Sumatera Utara,2024Q4,7.5148
12,Sumatera Utara,2025Q1,7.5632
12,Sumatera Utara,2025Q2,7.349
13,Sumatera Barat,2021Q1,9.0118
13,Sumatera Barat,2021Q2,8.4551
13,Sumatera Barat,2021Q3,8.4346
13,Sumatera Barat,2021Q4,8.4933
13,Sumatera Barat,2022Q1,8.4737
13,Sumatera Barat,2022Q2,8.4321
13,Sumatera Barat,2022Q3,8.8013
13,Sumatera Barat,2022Q4,9.4716
13,Sumatera Barat,2023Q1,10.2447
13,Sumatera Barat,2023Q2,10.1774
13,Sumatera Barat,2023Q3,10.3902
13,Sumatera Barat,2023Q4,10.5881
13,Sumatera Barat,2024Q1,10.8225
13,Sumatera Barat,2024Q2,10.7168
13,Sumatera Barat,2024Q3,10.8687
13,Sumatera Barat,2024Q4,11.2513
13,Sumatera Barat,2025Q1,11.2322
13,Sumatera Barat,2025Q2,11.0622
14,Riau,2021Q1,11.6311
14,Riau,2021Q2,11.4735
14,Riau,2021Q3,11.1014
14,Riau,2021Q4,11.2245
14,Riau,2022Q1,11.5401
14,Riau,2022Q2,11.8895
14,Riau,2022Q3,13.0771
14,Riau,2022Q4,13.9257
14,Riau,2023Q1,15.108
14,Riau,2023Q2,15.5521
14,Riau,2023Q3,15.9157
14,Riau,2023Q4,15.9912
14,Riau,2024Q1,16.0801
14,Riau,2024Q2,15.8786
14,Riau,2024Q3,15.6384
14,Riau,2024Q4,15.6968
14,Riau,2025Q1,15.8077
14,Riau,2025Q2,15.4841
15,Jambi,2021Q1,12.4579
15,Jambi,2021Q2,12.4909
15,Jambi,2021Q3,12.6286
15,Jambi,2021Q4,12.7397
15,Jambi,2022Q1,13.2287
15,Jambi,2022Q2,13.6578
15,Jambi,2022Q3,14.9981
15,Jambi,2022Q4,15.7706
15,Jambi,2023Q1,17.2508
15,Jambi,2023Q2,17.6463
15,Jambi,2023Q3,17.9141
15,Jambi,2023Q4,17.6084
15,Jambi,2024Q1,17.3882
15,Jambi,2024Q2,17.4121
15,Jambi,2024Q3,17.527
15,Jambi,2024Q4,17.0023
15,Jambi,2025Q1,17.1879
15,Jambi,2025Q2,16.326
16,Sumatera Selatan,2021Q1,11.5117
16,Sumatera Selatan,2021Q2,11.8447
16,Sumatera Selatan,2021Q3,11.7647
16,Sumatera Selatan,2021Q4,11.6994
16,Sumatera Selatan,2022Q1,11.8561
16,Sumatera Selatan,2022Q2,12.9288
16,Sumatera Selatan,2022Q3,13.1575
16,Sumatera Selatan,2022Q4,13.4208
16,Sumatera Selatan,2023Q1,14.6044
16,Sumatera Selatan,2023Q2,14.2841
16,Sumatera Selatan,2023Q3,15.0349
16,Sumatera Selatan,2023Q4,14.9995
16,Sumatera Selatan,2024Q1,15.2961
16,Sumatera Selatan,2024Q2,14.69
16,Sumatera Selatan,2024Q3,14.6946
16,Sumatera Selatan,2024Q4,14.9689
